item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
"SCE43B/.125""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".125"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$16.74,(S),$0.0055,$0.0003,$0.0058,Rubberlite,7 - 10 days
"SCE43B/.196""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".196"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$23.28,(S),$0.0077,$0.0004,$0.0081,Rubberlite,7 - 10 days
"SCE43B/.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".250"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$27.80,(S),$0.0092,$0.0005,$0.0097,Rubberlite,7 - 10 days
"SCE43B/.315""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".315"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$34.24,(S),$0.0113,$0.0006,$0.0119,Rubberlite,7 - 10 days
"SCE43B/.394""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".394"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$43.59,(S),$0.0144,$0.0007,$0.0151,Rubberlite,7 - 10 days
"SCE43B/.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".500"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$53.75,(S),$0.0178,$0.0009,$0.0187,Rubberlite,7 - 10 days
"SCE43B/.590""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".590"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$61.78,(S),$0.0204,$0.0010,$0.0215,Rubberlite,7 - 10 days
"SCE43B/.787""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".787"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$81.51,(S),$0.0270,$0.0013,$0.0283,Rubberlite,7 - 10 days
"SCE43B/1.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,"1.000"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$102.17,(S),$0.0338,$0.0017,$0.0355,Rubberlite,7 - 10 days
"SCE43B/1.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,"1.250"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$129.44,(S),$0.0428,$0.0021,$0.0449,Rubberlite,7 - 10 days
"SCE43B/1.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,"1.500"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$155.26,(S),$0.0513,$0.0026,$0.0539,Rubberlite,7 - 10 days
"SCE43B/2.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,"2.000"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$204.88,(S),$0.0678,$0.0034,$0.0711,Rubberlite,7 - 10 days
"SCE45B/.080""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".080"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$14.09,(S),$0.0077,$0.0004,$0.0081,Rubberlite,7 - 10 days
"SCE45B/.125""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".125"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$18.96,(S),$0.0104,$0.0005,$0.0109,Rubberlite,7 - 10 days
"SCE45B/.196""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".196"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$23.46,(S),$0.0129,$0.0006,$0.0135,Rubberlite,7 - 10 days
"SCE45B/.250""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".250"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$30.06,(S),$0.0165,$0.0008,$0.0173,Rubberlite,7 - 10 days
"SCE45B/.315""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".315"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$37.87,(S),$0.0208,$0.0010,$0.0218,Rubberlite,7 - 10 days
"SCE45B/.394""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".394"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$47.37,(S),$0.0260,$0.0013,$0.0273,Rubberlite,7 - 10 days
"SCE45B/.500""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".500"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$60.39,(S),$0.0331,$0.0017,$0.0348,Rubberlite,7 - 10 days
"SCE45B/.590""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".590"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$70.48,(S),$0.0386,$0.0019,$0.0406,Rubberlite,7 - 10 days
"SCE45B/.787""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,".787"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$96.47,(S),$0.0529,$0.0026,$0.0555,Rubberlite,7 - 10 days
"SCE45B/1.000""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,"1.000"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$111.61,(S),$0.0612,$0.0031,$0.0642,Rubberlite,7 - 10 days
"SCE45B/1.250""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,"1.250"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$135.50,(S),$0.0743,$0.0037,$0.0780,Rubberlite,7 - 10 days
"SCE45B/1.500""/38"" x 48""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE45B (10.0# - 14.0#) Black,"1.500"" thick","ASTM D1056-07 2A5; ASTM D 6576-07 T2A,B Firm; MIL-R-6130C  2-A Firm","38"" X 48""",48,38,,$151.50,(S),$0.0831,$0.0042,$0.0872,Rubberlite,7 - 10 days
"SCE41NEO/.125""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,".125"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$21.06,(S),$0.0070,$0.0003,$0.0073,Rubberlite,7 - 10 days
"SCE41NEO/.250""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,".250"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$33.38,(S),$0.0110,$0.0006,$0.0116,Rubberlite,7 - 10 days
"SCE41NEO/.394""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,".394"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$49.26,(S),$0.0163,$0.0008,$0.0171,Rubberlite,7 - 10 days
"SCE41NEO/.500""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,".500"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$62.87,(S),$0.0208,$0.0010,$0.0218,Rubberlite,7 - 10 days
"SCE41NEO/.787""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,".787"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$97.86,(S),$0.0324,$0.0016,$0.0340,Rubberlite,7 - 10 days
"SCE41NEO/1.000""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE41NEO (7.0# - 11.0#) Black,"1.000"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 2; ASTM D1056-07 2C1 Soft,"42"" X 72""",72,42,,$125.11,(S),$0.0414,$0.0021,$0.0434,Rubberlite,7 - 10 days
"SCE42NEO/.125""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,".125"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$22.13,(S),$0.0073,$0.0004,$0.0077,Rubberlite,7 - 10 days
"SCE42NEO/.250""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,".250"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$35.00,(S),$0.0116,$0.0006,$0.0122,Rubberlite,7 - 10 days
