Account,Date,Name,Memo,Split,Debit,Credit,Balance
6000 Accounting Fees,12/16/2019,Rand Accounting,VOID: CCD ID: 9IA4332921,1010 · Chase 9063 -720,0,,"4,735.5"
6000 Accounting Fees,12/31/2019,HIGH Sierra QuickBooks,,2000 · Accounts Payable,,,"4,735.5"
6000 Accounting Fees,12/31/2019,HIGH Sierra QuickBooks,,2000 · Accounts Payable,475,,"5,210.5"
6000 Accounting Fees,01/27/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,252.5"
6000 Accounting Fees,02/03/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,294.5"
6000 Accounting Fees,02/10/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,336.5"
6000 Accounting Fees,02/18/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,378.5"
6000 Accounting Fees,02/24/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,420.5"
6000 Accounting Fees,03/02/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,462.5"
6000 Accounting Fees,03/09/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,504.5"
6000 Accounting Fees,03/16/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,546.5"
6000 Accounting Fees,03/30/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,630.5"
6000 Accounting Fees,04/06/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,672.5"
6000 Accounting Fees,04/13/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,714.5"
6000 Accounting Fees,04/20/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"5,756.5"
6000 Accounting Fees,04/22/2020,HIGH Sierra QuickBooks,,2000 · Accounts Payable,,,"5,756.5"
6000 Accounting Fees,04/23/2020,HIGH Sierra QuickBooks,WEB ID: 9215986202,1010 · Chase 9063 -720,522.5,,"6,279"
6000 Accounting Fees,04/23/2020,HIGH Sierra QuickBooks,CCD ID: 9215986202,1010 · Chase 9063 -720,380,,"6,659"
6000 Accounting Fees,04/27/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"6,701"
6000 Accounting Fees,05/04/2020,,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"6,743"
6000 Accounting Fees,05/11/2020,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,42,,"6,785"
6000 Accounting Fees,05/18/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:051,1010 · Chase 9063 -720,42,,"6,827"
6000 Accounting Fees,05/26/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:052,1010 · Chase 9063 -720,42,,"6,869"
6000 Accounting Fees,06/01/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:052,1010 · Chase 9063 -720,42,,"6,911"
6000 Accounting Fees,06/08/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:060,1010 · Chase 9063 -720,42,,"6,953"
6000 Accounting Fees,06/15/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:061,1010 · Chase 9063 -720,42,,"6,995"
6000 Accounting Fees,06/22/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:061,1010 · Chase 9063 -720,42,,"7,037"
6000 Accounting Fees,06/29/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:062,1010 · Chase 9063 -720,42,,"7,079"
6000 Accounting Fees,07/06/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:070,1010 · Chase 9063 -720,42,,"7,121"
6000 Accounting Fees,07/13/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:071,1010 · Chase 9063 -720,42,,"7,163"
6000 Accounting Fees,07/20/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:071,1010 · Chase 9063 -720,42,,"7,205"
6000 Accounting Fees,07/27/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:072,1010 · Chase 9063 -720,42,,"7,247"
6000 Accounting Fees,08/03/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:073,1010 · Chase 9063 -720,42,,"7,289"
6000 Accounting Fees,08/10/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:080,1010 · Chase 9063 -720,42,,"7,331"
6000 Accounting Fees,08/17/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:081,1010 · Chase 9063 -720,42,,"7,373"
6000 Accounting Fees,08/24/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:082,1010 · Chase 9063 -720,42,,"7,415"
6000 Accounting Fees,08/31/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:082,1010 · Chase 9063 -720,42,,"7,457"
6000 Accounting Fees,09/08/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:090,1010 · Chase 9063 -720,42,,"7,499"
6000 Accounting Fees,09/14/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:091,1010 · Chase 9063 -720,42,,"7,541"
6000 Accounting Fees,09/21/2020,Rand Accounting,ORIG ID:9IA4332921 DESC DATE:091,1010 · Chase 9063 -720,42,,"7,583"
,,,,,"7,655",72,"7,583"
